the_total_ 596
new_group 65
38123 35.4417 -97.5577
38241 35.6204 -77.3313
38225 36.3111 -94.1733
38229 36.8147 -119.796
38217 37.727 -122.408
38213 37.8284 -122.411
38214 37.8284 -122.411
38215 37.8284 -122.411
38183 37.8455 -122.262
38218 38.0699 -122.21
38127 38.4954 -121.484
38129 38.4954 -121.484
38128 38.4954 -121.484
38219 38.5746 -121.466
38222 38.5944 -121.397
38221 38.5944 -121.397
38220 38.5944 -121.397
38223 38.5967 -121.402
38243 38.7424 -90.3659
38244 38.7424 -90.3659
38245 38.7424 -90.3659
38231 39.0857 -76.8949
38130 39.8366 -74.9717
38132 39.8366 -74.9717
38131 39.8366 -74.9717
38237 39.9457 -75.1666
38238 41.392 -71.8606
38093 41.814 -87.9057
38236 42.1058 -88.037
38235 42.1058 -88.037
38234 42.1058 -88.037
38100 42.3824 -83.2114
38101 42.3824 -83.2114
38102 42.3824 -83.2114
38184 45.4725 -73.6449
38092 45.7086 -121.513
38097 51.0395 -114.07
new_group 68
13709 27.3963 -82.4581
13708 27.3963 -82.4581
13789 27.5644 -99.4824
13796 27.5644 -99.4824
13795 27.5644 -99.4824
13788 27.5644 -99.4824
13790 27.5644 -99.4824
13794 27.5644 -99.4824
13799 27.5644 -99.4824
13792 27.5644 -99.4824
13787 27.5644 -99.4824
13791 27.5644 -99.4824
13798 27.5644 -99.4824
13797 27.5644 -99.4824
13786 27.5644 -99.4824
13793 27.5644 -99.4824
16659 27.7456 -97.3979
9044 27.8026 -82.6217
8988 27.8525 -82.6387
8989 27.8525 -82.6387
15817 27.9008 -82.2929
15814 27.9008 -82.2929
15816 27.9008 -82.2929
15815 27.9008 -82.2929
16136 27.9208 -82.7762
8875 27.9208 -82.2891
13080 27.9612 -82.2516
9490 27.9931 -82.5396
14537 28.0006 -82.5874
9523 28.0047 -82.6518
9077 28.0098 -82.5742
13379 28.0111 -82.5194
13378 28.0111 -82.5194
9411 28.0266 -82.6271
10466 28.0679 -82.621
16904 28.3293 -81.817
16905 28.3293 -81.817
12360 28.351 -81.5503
12359 28.351 -81.5503
12361 28.351 -81.5503
15675 28.3561 -81.5606
16001 28.4434 -81.4362
12696 28.4813 -81.4287
12483 28.488 -16.3452
12484 28.488 -16.3452
14404 28.5687 -81.33
12407 28.5765 -81.3232
17235 28.5811 -81.3416
13739 28.5905 -81.342
13740 28.5905 -81.342
13738 28.5905 -81.342
14556 28.6158 -81.351
14555 28.6158 -81.351
14557 28.6158 -81.351
14554 28.6158 -81.351
12415 28.6168 -81.2468
12417 28.6168 -81.2468
12414 28.6168 -81.2468
12416 28.6168 -81.2468
14559 28.6443 -80.8531
17180 28.6737 -81.2414
17181 28.6737 -81.2414
17179 28.6737 -81.2414
15978 28.8258 -97.0037
15976 28.8258 -97.0037
15977 28.8258 -97.0037
15979 28.8258 -97.0037
34879 64.1444 -21.9227
new_group 64
38680 19.6607 -155.992
38642 19.6414 -155.023
39099 49.2683 -123.12
39137 45.6303 -122.602
39138 45.6303 -122.602
39139 45.6303 -122.602
39060 37.7701 -122.418
39056 37.7701 -122.418
39059 37.7701 -122.418
39058 37.7701 -122.418
39057 37.7701 -122.418
39041 37.6725 -122.389
39045 37.8415 -122.25
39046 37.8415 -122.25
39049 37.79 -122.246
39048 37.79 -122.246
39050 37.79 -122.246
39037 37.721 -122.181
39036 37.7078 -122.023
39047 37.6683 -122.021
39039 38.6382 -121.385
39038 38.6382 -121.385
39040 38.6382 -121.385
39068 34.1086 -117.639
39089 47.6408 -117.58
39090 47.6408 -117.58
39088 47.6408 -117.58
39069 32.8136 -117.051
39103 33.9271 -116.813
39101 33.9271 -116.813
39102 33.9271 -116.813
39085 51.0499 -114.07
39070 39.6624 -104.939
39042 38.8435 -104.799
39044 38.8435 -104.799
39043 38.8435 -104.799
38528 19.5188 -99.2471
38527 19.5188 -99.2471
38526 19.5188 -99.2471
38426 19.4319 -99.1744
38375 19.4025 -99.1716
39051 30.3174 -97.7514
39054 27.7262 -97.3718
39053 27.7262 -97.3718
39052 27.7262 -97.3718
39055 27.7262 -97.3718
39075 29.7296 -95.3784
39098 44.919 -93.3797
39061 38.6701 -90.2857
39067 38.6235 -90.1896
39066 38.6235 -90.1896
39065 38.6235 -90.1896
39121 44.274 -88.3977
39119 44.274 -88.3977
39122 44.274 -88.3977
39120 44.274 -88.3977
39104 38.2348 -85.7047
39127 27.1187 -82.433
39126 27.1187 -82.433
39128 27.1187 -82.433
39072 34.3283 -78.5993
39094 38.3245 -77.7449
39082 38.7604 -77.703
39133 39.3265 -76.8015
new_group 67
31143 4.68247 -74.0497
31917 9.90527 -84.0455
33727 9.94493 -84.1253
33726 9.94493 -84.1253
33725 9.94493 -84.1253
30414 10.5021 -66.7941
30415 10.5021 -66.7941
30413 10.5021 -66.7941
29661 10.6753 -61.5329
29662 10.6753 -61.5329
30502 13.7513 -89.2011
30503 13.7513 -89.2011
